npi,first_name,last_name,credential,specialty_code,specialty_label,org_key,org_name,role,effective_date,status
KEYSTONE-NPI05,Robert,Chen,MD,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2020-01-01,ACTIVE
KHS-P00001,Jennifer,Mwangi,MD,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00002,Robert,Garcia,MD,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00003,Omar,Novak,NP,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00004,Jennifer,Novak,NP,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00005,Michael,Ali,MD,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00006,Grace,Reyes,MD,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00007,Ahmed,Smith,PA,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00008,William,Davis,PA,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00009,Thomas,Costa,PA,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00010,Ahmed,Williams,NP,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00011,Susan,Andersson,MD,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00012,Grace,Rodriguez,MD,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00013,Richard,Nguyen,MD,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00014,Aisha,Silva,PA,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00015,Diego,Smith,MD,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00016,Michael,Brown,PA,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00017,Omar,Tan,NP,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00018,Diego,Brown,DO,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00019,Linda,Novak,PA,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00020,Raj,Rodriguez,DO,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00021,Susan,Martinez,MD,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00022,Jennifer,Rodriguez,MD,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00023,Elizabeth,Reyes,MD,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00024,Jennifer,Kowalski,NP,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00025,Jessica,Silva,MD,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00026,William,Smith,MD,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00027,Nina,Dubois,DO,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00028,Nina,Ivanov,NP,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00029,Grace,Ali,MD,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00030,Raj,Brown,MD,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00031,David,Johnson,MD,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00032,Omar,Rodriguez,NP,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00033,John,Smith,DO,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00034,Ahmed,Reyes,MD,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00035,Hassan,Rodriguez,MD,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00036,William,Williams,PA,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00037,Susan,Novak,MD,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00038,Ahmed,Okafor,DO,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00039,Priya,Okafor,MD,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00040,Omar,Smith,NP,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00041,Mary,Rossi,MD,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00042,Nina,Costa,MD,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00043,Raj,Costa,PA,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00044,Jessica,Miller,MD,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00045,Sofia,Jones,PA,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00046,Diego,Williams,MD,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00047,Diego,Kowalski,DO,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00048,Jennifer,Miller,PA,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00049,Chen,Tan,MD,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00050,William,Mwangi,NP,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00051,Wei,Ivanov,NP,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00052,Grace,Martinez,MD,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00053,Patricia,Reyes,MD,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00054,Mary,Kowalski,MD,IM,Internal Medicine,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00055,Linda,Martinez,PA,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00056,Diego,Davis,NP,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00057,David,Johnson,MD,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00058,Jennifer,Kim,MD,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00059,William,Martinez,PA,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
